word,care_hlcts,fairness_hlcts,loyalty_hlcts,authority_hlcts,sanctity_hlcts,total_seen,seen_care,seen_fairness,seen_loyalty,seen_authority,seen_sanctity,care_pos,care_neg,care_neu,care_sent,fairness_pos,fairness_neg,fairness_neu,fairness_sent,loyalty_pos,loyalty_neg,loyalty_neu,loyalty_sent,authority_pos,authority_neg,authority_neu,authority_sent,sanctity_pos,sanctity_neg,sanctity_neu,sanctity_sent,avg_pos,avg_neg,avg_neu,sum_hl,care_p,fairness_p,loyalty_p,authority_p,sanctity_p,ind_vader,ind_comp,tag,care.virtue,fairness.virtue,loyalty.virtue,authority.virtue,sanctity.virtue,care.vice,fairness.vice,loyalty.vice,authority.vice,sanctity.vice,foundation
respect,22,21,15,27,25,596,108,120,109,135,124,0.600272727,0.057727273,0.341954545,0.649918182,0.478428571,0.099666667,0.421904762,0.431585714,0.527066667,0.103533333,0.3694,0.516706667,0.516259259,0.05462963,0.429111111,0.510433333,0.5656,0.04004,0.39436,0.6081,0,0,0,110,0.203703704,0.175,0.137614679,0.2,0.201612903,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.4767}",0.4767,n,0.203703704,0.175,0.137614679,0.2,0.201612903,0,0,0,0,0,care.virtue
inability,4,7,4,4,2,91,17,17,17,20,20,0.2875,0.33525,0.3775,-0.121075,0.209428571,0.364142857,0.426857143,-0.289557143,0.2425,0.30675,0.451,-0.0482,0.1505,0.4235,0.42625,-0.2854,0.282,0.39,0.329,-0.3182,0,0,0,21,0.235294118,0.411764706,0.235294118,0.2,0.1,"{'neg': 1.0, 'neu': 0.0, 'pos': 0.0, 'compound': -0.4019}",-0.4019,n,0,0,0,0,0,0.235294118,0.411764706,0.235294118,0.2,0.1,fairness.vice
promise,8,26,24,18,11,586,106,141,124,118,97,0.2905,0.176375,0.533125,0.125125,0.429730769,0.121961538,0.448346154,0.264215385,0.424666667,0.086333333,0.488958333,0.3631,0.514944444,0.048611111,0.4365,0.480972222,0.463363636,0.079727273,0.456818182,0.437090909,0,0,0,87,0.075471698,0.184397163,0.193548387,0.152542373,0.113402062,"{'neg': 0.0, 'neu': 0.0, 'pos': 1.0, 'compound': 0.3182}",0.3182,n,0.075471698,0.184397163,0.193548387,0.152542373,0.113402062,0,0,0,0,0,loyalty.virtue
pain,24,5,3,4,5,273,58,47,50,52,66,0.118166667,0.4795,0.402583333,-0.480595833,0.1066,0.6562,0.2372,-0.78792,0,0.534666667,0.465333333,-0.701733333,0.073,0.53925,0.38775,-0.6254,0.1118,0.3966,0.4914,-0.30542,0,0,0,41,0.413793103,0.106382979,0.06,0.076923077,0.075757576,"{'neg': 1.0, 'neu': 0.0, 'pos': 0.0, 'compound': -0.5106}",-0.5106,n,0,0,0,0,0,0.413793103,0.106382979,0.06,0.076923077,0.075757576,care.vice
limited,7,10,8,15,12,443,82,85,95,101,81,0.213571429,0.253714286,0.532571429,0.046842857,0.0602,0.352,0.5879,-0.29937,0.099125,0.25425,0.646625,-0.1682875,0.106066667,0.268333333,0.625533333,-0.16646,0.109666667,0.374916667,0.515333333,-0.323466667,0,0,0,52,0.085365854,0.117647059,0.084210526,0.148514851,0.148148148,"{'neg': 1.0, 'neu': 0.0, 'pos': 0.0, 'compound': -0.2263}",-0.2263,v,0,0,0,0,0,0.085365854,0.117647059,0.084210526,0.148514851,0.148148148,authority.vice
threaten,9,8,6,3,3,160,35,31,36,28,30,0.203888889,0.392666667,0.403333333,-0.238166667,0.1445,0.444125,0.4115,-0.3819375,0.2215,0.3785,0.399833333,-0.155416667,0.086,0.587666667,0.326333333,-0.681633333,0,0.559666667,0.440333333,-0.711166667,0,0,0,29,0.257142857,0.258064516,0.166666667,0.107142857,0.1,"{'neg': 1.0, 'neu': 0.0, 'pos': 0.0, 'compound': -0.3818}",-0.3818,v,0,0,0,0,0,0.257142857,0.258064516,0.166666667,0.107142857,0.1,fairness.vice
fight,67,37,53,61,29,1546,325,304,322,321,275,0.095134328,0.539179104,0.365656716,-0.475495522,0.167621622,0.437675676,0.394783784,-0.249040541,0.106811321,0.499264151,0.393962264,-0.496669811,0.14552459,0.44842623,0.406065574,-0.321380328,0.166206897,0.399655172,0.434241379,-0.294910345,0,0,0,247,0.206153846,0.121710526,0.164596273,0.190031153,0.105454545,"{'neg': 1.0, 'neu': 0.0, 'pos': 0.0, 'compound': -0.3818}",-0.3818,n,0,0,0,0,0,0.206153846,0.121710526,0.164596273,0.190031153,0.105454545,care.vice
upset,7,2,4,9,5,217,44,40,42,54,37,0.095,0.602142857,0.303,-0.713457143,0.1115,0.4585,0.43,-0.46475,0,0.54775,0.45225,-0.535925,0,0.609777778,0.390222222,-0.629255556,0.1,0.5556,0.3444,-0.48494,0,0,0,27,0.159090909,0.05,0.095238095,0.166666667,0.135135135,"{'neg': 1.0, 'neu': 0.0, 'pos': 0.0, 'compound': -0.3818}",-0.3818,v,0,0,0,0,0,0.159090909,0.05,0.095238095,0.166666667,0.135135135,authority.vice
hostile,12,8,5,8,7,183,47,32,37,31,36,0.087166667,0.4375,0.47525,-0.3351,0.049625,0.451,0.499375,-0.5898,0.0464,0.4182,0.5354,-0.523,0.064625,0.421125,0.514375,-0.4699,0.225571429,0.407,0.367285714,-0.196771429,0,0,0,40,0.255319149,0.25,0.135135135,0.258064516,0.194444444,"{'neg': 1.0, 'neu': 0.0, 'pos': 0.0, 'compound': -0.3818}",-0.3818,a,0,0,0,0,0,0.255319149,0.25,0.135135135,0.258064516,0.194444444,authority.vice
lobbying,0,3,2,6,2,127,20,39,22,27,19,0,0,0,0,0.112666667,0.221,0.666666667,0.061866667,0.221,0.2785,0.501,-0.07415,0.048333333,0.291166667,0.660333333,-0.149116667,0,0.3165,0.6835,-0.24935,0,0,0,13,0,0.076923077,0.090909091,0.222222222,0.105263158,"{'neg': 1.0, 'neu': 0.0, 'pos': 0.0, 'compound': -0.0772}",-0.0772,n,0,0,0,0,0,0,0.076923077,0.090909091,0.222222222,0.105263158,authority.vice
